year;inflation;;;
1 960;1,46;;;
1 961;1,07;;;
1 962;1,20;;;
1 963;1,24;;;
1 964;1,28;;;
1 965;1,59;;;
1 966;3,02;;;
1 967;2,77;;;
1 968;4,27;;;
1 969;5,46;;;
1 970;5,84;;;
1 971;4,29;;;
1 972;3,27;;;
1 973;6,18;;;
1 974;11,05;;;
1 975;9,14;;;
1 976;5,74;;;
1 977;6,50;;;
1 978;7,63;;;
1 979;11,25;;;
1 980;13,55;;;
1 981;10,33;;;
1 982;6,13;;;
1 983;3,21;;;
1 984;4,30;;;
1 985;3,55;;;
1 986;1,90;;;
1 987;3,66;;;
1 988;4,08;;;
1 989;4,83;;;
1 990;5,40;;;
1 991;4,23;;;
1 992;3,03;;;
1 993;2,95;;;
1 994;2,61;;;
1 995;2,81;;;
1 996;2,93;;;
1 997;2,34;;;
1 998;1,55;;;
1 999;2,19;;;
2 000;3,38;;;
2 001;2,83;;;
2 002;1,59;;;
2 003;2,27;;;
2 004;2,68;;;
2 005;3,39;;;
2 006;3,23;;;
2 007;2,85;;;
2 008;3,84;;;
2 009;-0,36;;;
2 010;1,64;;;
2 011;3,16;;;
2 012;2,07;;;
2 013;1,46;;;
2 014;1,62;;;
2 015;0,12;;;
2 016;1,26;;;
2 017;2,13;;;
2 018;2,44;;;
2 019;1,81;;;
2 020;1,23;;;
2 021;4,70;;;
2 022;8,00;;;
2 023;5,80;;;
2 024;5,80;;;
2 025;5,80;;;